#Puck,v_x (m/s), v_y (m/s)
4,-0.0269934,-0.368468
5,-0.102138,-0.623599
6,-0.229928,-0.14378
7,0.0362668,0.287092
8,0.190189,0.270152
9,0.307901,-0.0768447
10,-0.392314,-0.0741373
11,0.194376,0.302459
12,0.281947,0.15203
13,-0.244858,-0.388413
14,-0.225198,0.462366
15,0.592766,-0.193318
16,-0.284025,-0.310728
17,-0.105077,0.533714
18,0.230161,0.0563405
19,0.175696,-0.355927
20,-0.112313,0.332946
0,-0.0801854,0.0989086
1,0.035487,-0.045837
2,-0.181421,0.460705
3,0.237633,-0.293627
4,-0.0126861,-0.390819
5,-0.345726,-0.164232
6,0.566922,-0.0954236
7,0.0538192,0.259267
8,0.191288,0.271435
9,0.299042,-0.0800246
10,-0.410072,-0.0933632
11,0.195067,0.301808
12,0.279512,0.149539
13,-0.0738469,-0.396678
14,0.2505,0.315646
15,0.584963,-0.193255
16,-0.252495,-0.311573
17,-0.110955,0.53415
18,0.235071,0.0575178
19,0.163427,-0.349573
20,0.510763,-0.127483
0,-0.0785045,0.109122
1,0.0410434,-0.0474233
2,-0.171541,0.47846
3,0.232712,-0.284756
4,-0.0219591,-0.349139
5,-0.351275,-0.158354
6,0.0709543,0.237021
7,0.0377276,0.252443
8,0.188311,0.271591
9,0.304155,-0.0645464
10,-0.377256,-0.0666804
11,0.197177,0.300109
12,0.277798,0.154333
13,-0.027135,-0.865428
14,0.253028,0.319084
15,0.587642,-0.187009
16,-0.265014,-0.306004
17,-0.111582,0.53755
18,0.236618,0.0666243
19,0.16438,-0.348081
20,0.577402,0.0137522
0,-0.0730924,0.102522
1,0.035726,-0.0482154
2,-0.186471,0.450937
3,0.240748,-0.28077
4,-0.0355367,-0.303721
5,-0.348,-0.162753
6,0.0594355,0.204302
7,0.0716017,0.257865
8,0.196043,0.271205
9,0.279783,-0.0837025
10,-0.356042,-0.0716468
11,0.198836,0.295881
12,0.278408,0.153877
13,-0.028848,-0.870642
14,0.259319,0.320514
15,0.579854,-0.190902
16,-0.246494,-0.276452
17,-0.112028,0.528584
18,0.240445,0.0541679
19,0.167976,-0.349038
20,-0.108944,0.339561
0,-0.083731,0.105341
1,0.0391962,-0.046609
2,-0.255022,-0.256965
